Nome,Província
Cruzamento da A-49 com a A-483,Huelva
Cruzamento da A-49 com a SE-30,Sevilha
Cruzamento da A-49 com a SE-40,Sevilha
Cruzamento da A-66 com a SE-30,Sevilha
Cruzamento da A-8005 com a SE-20,Sevilha
Cruzamento da A-8009 com a SE-20,Sevilha
Cruzamento da A-92 com a SE-30,Sevilha
Cruzamento da A-92 com a SE-40,Sevilha
Cruzamento da H-30 com a H-31,Huelva
Cruzamento da N-431 com a N-444,Huelva
Cruzamento da SE-20 com a SE-30,Sevilha
El Granado,Huelva
Gelves,Sevilha
Gibraleón,Huelva
H-31 - Saída 80,Huelva
Isla Cristina,Huelva
Lepe,Huelva
Marismas de Isla Cristina,Huelva
Polígono Industrial de Ayamonte,Huelva
Ponte do Centenário,Sevilha
Ponte de Alamillo,Sevilha
Ponte Internacional do Guadiana,Huelva
Ponte Internacional do Baixo Guadiana,Huelva
Pozo del Camino,Huelva
Praia de Isla Canela,Huelva
Puerto de la Laja,Huelva
Punta del Moral,Huelva
Ronda Urbana Norte de Sevilha - Glorieta Berrocal,Sevilha
Ronda Urbana Norte de Sevilha - Glorieta Olímpica,Sevilha
Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro,Sevilha
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares,Sevilha
Ronda Urbana Norte de Sevilha - Pino Montano,Sevilha
Ronda Urbana Norte de Sevilha - Poligono Calonge,Sevilha
Ronda Urbana Norte de Sevilha - Poligono Store,Sevilha
San Bartolomé de la Torre,Huelva
San Juan de Aznalfarache,Sevilha
San Silvestre de Guzmán,Huelva
Sanlúcar de Guadiana,Huelva
SE-20 - Estádio de La Cartuja,Sevilha
SE-20 - Miraflores,Sevilha
SE-20 - Parque de Alamillo,Sevilha
SE-20 - Pino Montano,Sevilha
SE-20 - San Jerónimo,Sevilha
SE-30 - Saída 1,Sevilha
SE-30 - Saída 3,Sevilha
SE-30 - Saída 4,Sevilha
SE-30 - Saída 5,Sevilha
SE-30 - Saída 8,Sevilha
SE-30 - Saída 12,Sevilha
SE-30 - Saída 14,Sevilha
SE-30 - Saída 15,Sevilha
SE-30 - Saída 21,Sevilha
SE-40 - Reinício,Sevilha
SE-40 - Saída 5,Sevilha
SE-40 - Saída 19,Sevilha
SE-40 - Saída 35,Sevilha
Sevilha - Avenida Expo 92,Sevilha
Sevilha - Parque de Alamillo,Sevilha
Tariquejo,Huelva
Villablanca,Huelva
Villanueva de los Castillejos,Huelva
