Concelho,Entidade Intermunicipal,Distrito,Região
Loulé,Algarve,Faro,Algarve
Loures,Área Metropolitana de Lisboa,Lisboa,Estremadura
Mação,Médio Tejo,Santarém,Beira Baixa
Mafra,Área Metropolitana de Lisboa,Lisboa,Estremadura
Mangualde,Viseu Dão-Lafões,Viseu,Beira Alta
Marinha Grande,Região de Leiria,Leiria,Estremadura
Mealhada,Região de Coimbra,Aveiro,Beira Litoral
Mértola,Baixo Alentejo,Beja,Baixo Alentejo
Moita,Área Metropolitana de Lisboa,Setúbal,Estremadura
Monchique,Algarve,Faro,Algarve
Monforte,Alto Alentejo,Portalegre,Alto Alentejo
Montemor-o-Novo,Alentejo Central,Évora,Alto Alentejo
Montemor-o-Velho,Região de Coimbra,Coimbra,Beira Litoral
Montijo,Área Metropolitana de Lisboa,Setúbal,Estremadura
Moura,Baixo Alentejo,Beja,Baixo Alentejo
Nazaré,Oeste,Leiria,Estremadura
Óbidos,Oeste,Leiria,Estremadura
Odemira,Alentejo Litoral,Beja,Baixo Alentejo
Oeiras,Área Metropolitana de Lisboa,Lisboa,Estremadura
Olhão,Algarve,Faro,Algarve
Oliveira de Frades,Viseu Dão-Lafões,Viseu,Beira Alta
Ourém,Médio Tejo,Santarém,Beira Litoral
Ourique,Baixo Alentejo,Beja,Baixo Alentejo
Palmela,Área Metropolitana de Lisboa,Setúbal,Estremadura
Pinhel,Beiras e Serra da Estrela,Guarda,Beira Alta
Pombal,Região de Leiria,Leiria,Beira Litoral
Ponte de Sôr,Alto Alentejo,Portalegre,Alto Alentejo
Portalegre,Alto Alentejo,Portalegre,Alto Alentejo
Portel,Alentejo Central,Évora,Alto Alentejo
Portimão,Algarve,Faro,Algarve
Porto,Área Metropolitana do Porto,Porto,Douro Litoral
Salvaterra de Magos,Lezíria do Tejo,Santarém,Ribatejo
Santa Maria da Feira,Área Metropolitana do Porto,Aveiro,Douro Litoral
Santarém,Lezíria do Tejo,Santarém,Ribatejo
Santiago do Cacém,Alentejo Litoral,Setúbal,Baixo Alentejo
São Brás de Alportel,Algarve,Faro,Algarve
Seixal,Área Metropolitana de Lisboa,Setúbal,Estremadura
Serpa,Baixo Alentejo,Beja,Baixo Alentejo
Setúbal,Área Metropolitana de Lisboa,Setúbal,Estremadura
Sever do Vouga,Região de Aveiro,Aveiro,Beira Litoral
Silves,Algarve,Faro,Algarve
Sines,Alentejo Litoral,Setúbal,Baixo Alentejo
Sintra,Área Metropolitana de Lisboa,Lisboa,Estremadura
Sobral de Monte Agraço,Oeste,Lisboa,Estremadura
Soure,Região de Coimbra,Coimbra,Beira Litoral
Tavira,Algarve,Faro,Algarve
Tomar,Médio Tejo,Santarém,Ribatejo
Torres Novas,Médio Tejo,Santarém,Ribatejo
Torres Vedras,Oeste,Lisboa,Estremadura
Vendas Novas,Alentejo Central,Évora,Alto Alentejo
Vidigueira,Baixo Alentejo,Beja,Baixo Alentejo
Vila do Bispo,Algarve,Faro,Algarve
Vila Franca de Xira,Área Metropolitana de Lisboa,Lisboa,Ribatejo
Vila Nova da Barquinha,Médio Tejo,Santarém,Ribatejo
Vila Nova de Gaia,Área Metropolitana do Porto,Porto,Douro Litoral
Vila Real de Santo António,Algarve,Faro,Algarve
Vila Velha de Ródão,Beira Baixa,Castelo Branco,Beira Baixa
Viseu,Viseu Dão-Lafões,Viseu,Beira Alta
Vouzela,Viseu Dão-Lafões,Viseu,Beira Alta
