Nome,Concelho
Luz de Tavira,Tavira
Manta Rota,Vila Real de Santo António
Mar Shopping Algarve,Loulé
Marmeleiro,Alcoutim
Martim Longo,Alcoutim
Menires do Lavajo,Alcoutim
Mértola,Mértola
Mesquita,Mértola
Mexilhoeira da Carregação,Lagoa
Mina de Sal-Gema de Loulé,Loulé
Minas de São Domingos,Mértola
Miradouro do Caldeirão,Loulé
Moncarapacho,Olhão
Monte Alto,Mértola
Monte Francisco,Castro Marim
Monte Gordo,Vila Real de Santo António
Monte Vascão,Alcoutim
Montenegro,Faro
Montes Castelhanos,Castro Marim
Montinho,Alcoutim
Montinho das Laranjeiras,Alcoutim
Montinho de Odeleite,Castro Marim
Moreanes,Mértola
Murteira de Baixo,Castro Marim
Murteira de Cima,Castro Marim
N125 - Acesso a Estômbar e Ferragudo,Lagoa
Norte do Sapal de Castro Marim e Vila Real de Santo António,Castro Marim
Odeleite,Castro Marim
Olhão,Olhão
Olhos de Água,Albufeira
Paderne,Albufeira
Palmeira,Alcoutim
Parchal,Lagoa
Parque Empresarial de Alcoutim,Alcoutim
Parque Mineiro Cova dos Mouros,Alcoutim
Parque Municipal do Sítio das Fontes,Lagoa
Parque Temático da Serra do Caldeirão,Loulé
Pechão,Olhão
Pedras de El-Rei,Tavira
Penha da Águia,Mértola
"Pêra, Silves",Silves
Pereiro,Alcoutim
Piçarral,Castro Marim
Picoitos,Mértola
Poço Barreto,Silves
Pomarão,Mértola
Porches,Lagoa
Portela Alta de Baixo,Castro Marim
Portela Alta de Cima,Castro Marim
Porto de Faro,Faro
Porto de Pesca de Portimão,Lagoa
Praia da Barreta,Faro
Praia da Cacela Velha,Vila Real de Santo António
Praia da Cova Redonda,Lagoa
Praia da Falésia,Albufeira
Praia da Fuseta,Olhão
Praia da Galé,Albufeira
Praia da Ilha de Tavira,Tavira
Praia da Marinha,Lagoa
Praia da Nossa Senhora da Rocha,Lagoa
Praia da Oura,Albufeira
Praia de Benagil,Lagoa
Praia de Cabanas de Tavira,Tavira
Praia de Faro,Faro
Praia de Santa Eulália,Albufeira
Praia do Barril,Tavira
Praia do Carvalho,Lagoa
Praia do Vale de Centeanes,Lagoa
Praia dos Alemães,Albufeira
Praia dos Salgados,Albufeira
Praia Nova,Lagoa
Praia Verde,Castro Marim
Quarteira,Loulé
Quatro Águas,Tavira
Quebradas,Castro Marim
Quelfes,Olhão
Querença,Loulé
Quinta do Lago,Loulé
Quinta do Vale Golf Resort,Castro Marim
Ribeira do Vascão,Mértola
Rocha da Pena,Loulé
Rotunda da Árvore,Alcoutim
Ruínas Romanas de Milreu,Faro
Salgueiros,Mértola
Salir,Loulé
Santa Bárbara de Nexe,Faro
Santa Catarina da Fonte do Bispo,Tavira
Santa Luzia,Tavira
Santa Marta,Alcoutim
Santuário de Nossa Senhora da Piedade,Loulé
São Bartolomeu de Messines,Silves
São Brás de Alportel,São Brás de Alportel
São Marcos da Serra,Silves
São Martinho,Alcoutim
Sedas,Mértola
Sentinela,Castro Marim
Serpa,Serpa
Serro da Vinha de Baixo,Alcoutim
Serro da Vinha de Cima,Alcoutim
Silves,Silves
Sítio da Fábrica,Vila Real de Santo António
Slide & Splash,Lagoa
Sul do Sapal de Castro Marim e Vila Real de Santo António,Castro Marim
Tacões,Alcoutim
Tanoeiro,Castro Marim
Tavira - Norte,Tavira
Tavira - Sul,Tavira
Tenência,Castro Marim
Torneiro,Alcoutim
Tunes,Silves
Universidade do Algarve - Campus de Gambelas,Faro
Universidade do Algarve - Campus da Penha,Faro
Vale de Andreu,Castro Marim
Vale do Lobo,Loulé
Vale do Pereiro,Castro Marim
Vale do Poço,Mértola
Vaqueiros,Alcoutim
Variante de Faro - Nó com o IC4,Faro
Variante de Faro - Nó com a M518,Faro
Variante de Faro - Nó com a N2,Faro
"Vicentes, Alcoutim",Alcoutim
Vila Nova de Cacela,Vila Real de Santo António
Vila Nova de São Bento,Serpa
Vila Real de Santo António,Vila Real de Santo António
Vilamoura,Loulé
Vista Real,Castro Marim
Zoomarine,Albufeira
