Nome,Município,Província,Distrito
Ponte Internacional do Guadiana,Ayamonte,Huelva,
Pozo del Camino,Ayamonte,Huelva,
Praia de Isla Canela,Ayamonte,Huelva,
Puerto de la Laja,El Granado,Huelva,
Punta del Moral,Ayamonte,Huelva,
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares,Sevilha,Sevilha,Norte
Ronda Urbana Norte de Sevilha - Glorieta Berrocal,Sevilha,Sevilha,Norte
Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro,Sevilha,Sevilha,Macarena
Ronda Urbana Norte de Sevilha - Glorieta Olímpica,Sevilha,Sevilha,Macarena
Ronda Urbana Norte de Sevilha - Pino Montano,Sevilha,Sevilha,Norte
Ronda Urbana Norte de Sevilha - Poligono Calonge,Sevilha,Sevilha,Norte
Ronda Urbana Norte de Sevilha - Poligono Store,Sevilha,Sevilha,Norte
San Bartolomé de la Torre,San Bartolomé de la Torre,Huelva,
San Juan de Aznalfarache,San Juan de Aznalfarache,Sevilha,
San Silvestre de Guzmán,San Silvestre de Guzmán,Huelva,
Sanlúcar de Guadiana,Sanlúcar de Guadiana,Huelva,
SE-20 - Estádio de La Cartuja,Santiponce,Sevilha,
SE-20 - Miraflores,Sevilha,Sevilha,Norte
SE-20 - Parque de Alamillo,Santiponce,Sevilha,
SE-20 - Pino Montano,Sevilha,Sevilha,Norte
SE-20 - San Jerónimo,Sevilha,Sevilha,Norte
SE-30 - Saída 1,Sevilha,Sevilha,Este-Alcosa-Torreblanca
SE-30 - Saída 12,Sevilha,Sevilha,Los Remedios
SE-30 - Saída 14,Sevilha,Sevilha,Triana
SE-30 - Saída 15,San Juan de Aznalfarache,Sevilha,
SE-30 - Saída 21,Sevilha,Sevilha,Triana
SE-30 - Saída 3,Sevilha,Sevilha,Cerro-Amate
SE-30 - Saída 4,Sevilha,Sevilha,Cerro-Amate
SE-30 - Saída 5,Alcalá de Guadaíra,Sevilha,
SE-30 - Saída 8,Sevilha,Sevilha,Bellavista-La Palmera
SE-40 - Reinício,Palomares del Río,Sevilha,
SE-40 - Saída 19,Dos Hermanas,Sevilha,
SE-40 - Saída 35,Almensilla,Sevilha,
SE-40 - Saída 5,Sevilha,Sevilha,Este-Alcosa-Torreblanca
Sevilha - Avenida Expo 92,Sevilha,Sevilha,Triana
Sevilha - Parque de Alamillo,Sevilha,Sevilha,Triana
Tariquejo,Villanueva de los Castillejos,Huelva,
Villablanca,Villablanca,Huelva,
Villanueva de los Castillejos,Villanueva de los Castillejos,Huelva,
