Local A;Local B;Meio de transporte;Distância;Informação extra;Ponto cardeal
Afonso Vicente;Cortes Pereiras;Carro;2.9;;E
Afonso Vicente;Cruzamento da N122 com a M507;Carro;3.5;;SO
Álamo, Alcoutim;Rotunda da Árvore;Carro;0.5;;N
Álamo, Alcoutim;Barranco das Pereiras;Carro;1.2;;S
Álamo, Mértola;Espírito Santo;Carro;5.8;;SE
Álamo, Mértola;Boavista;Carro;7.1;;E
Álamo, Mértola;Mértola;Carro;8.0;;N
Albufeira - Centro histórico;Praia dos Alemães;Carro;2.5;;SE
Albufeira - Rua da Oura;Praia de Santa Eulália;Carro;1.8;;SE
Albufeira - Rua da Oura;Praia da Oura;Carro;0.7;;S
Albufeira - Rua da Oura;Praia dos Alemães;Carro;1.6;;SO
Alcaria;Foz de Odeleite;Carro;3.5;;NE
Alcaria;Odeleite;Carro;3.4;;O
Alcaria;Fonte do Penedo;Carro;0.9;;S
Alcarias Grandes;Tanoeiro;Carro;2.4;;S
Alcarias Grandes;Corte do Gago;Carro;2.5;;NO
Alcoutim;Marmeleiro;Carro;2.8;;SO
Alcoutim;Montinho das Laranjeiras;Carro;8.8;;S
Alcoutim;Barragem de Alcoutim;Carro;2.4;;O
Alcoutim;Cortes Pereiras;Carro;6.0;;NO
Alcoutim;Sanlúcar de Guadiana;Barco;0.3;Barco;NE
Alcoutim;Laranjeiras;Barco;9.5;Barco;S
Almada de Ouro;Cruzamento da N122 com a M1063;Carro;3.6;;NO
Almada de Ouro;Azinhal;Carro;4.3;;SO
Almada de Ouro;Foz de Odeleite;Barco;4.9;Barco;N
Almada de Ouro;Costa Esuri;Barco;5.2;Barco;S
Almancil;Cruzamento do IC4 com a N125;Carro;5.0;;SE
Almancil;Estação de Almancil;Carro;1.1;;NE
Almancil;Vale do Lobo;Carro;5.7;;SO
Almancil;Quinta do Lago;Carro;5.1;;S
Almancil;Cruzamento da N125 com a N396;Carro;2.3;;NO
Alta Mora;Cruzamento da M509 com a M512;Carro;4.1;;E
Alta Mora;Vaqueiros;Carro;21.3;;NO
Alta Mora;Furnazinhas;Carro;13.0;;N
Alte;Rocha da Pena;Carro;9.4;;NE
Altura;Cruzamento da N125 com a N125-6;Carro;2.2;;NE
Altura;Vila Nova de Cacela;Carro;3.5;;O
Ameixal;Miradouro do Caldeirão;Carro;9.7;N2;S
Ameixal;Corte João Marques;Carro;8.7;;E
Ameixal;Salir;Carro;21.7;;SO
Antiga Estação de Isla Cristina - Pozo del Camino;Isla Cristina;Carro;3.0;;S
Antiga Estação de Isla Cristina - Pozo del Camino;Pozo del Camino;Carro;0.9;;NE
Antiga Estação de Isla Cristina - Pozo del Camino;Ayamonte;Comboio;7.3;Antiga Linha Gibraleón-Ayamonte;O
Aquashow;Estação de Loulé;Carro;2.8;;NE
Aquashow;Cruzamento da N125 com a N396;Carro;2.3;;NE
Aquashow;Quarteira;Carro;3.7;;SO
Área de Repouso de Castro Marim;Ponte Internacional do Guadiana;Carro;1.7;;E
Ayamonte;Polígono Industrial de Ayamonte;Carro;3.7;;NE
Ayamonte;Barriada de Canela;Carro;2.2;;S
Ayamonte;Costa Esuri;Barco;7.6;Barco;N
Ayamonte;Vila Real de Santo António;Barco;2.2;Barco;SO
Azinhal;Cruzamento da N122 com a M512;Carro;0.8;;SO
Balurco de Baixo;Cruzamento da N122 com a M507-2;Carro;2.3;;S
Balurco de Baixo;Parque Empresarial de Alcoutim;Carro;1.5;;N
Balurco de Baixo;Casa Branca, Alcoutim;Carro;0.3;;NO
Balurco de Baixo;Deserto;Carro;1.1;;NO
Balurco de Baixo;Cerro;Carro;0.5;;NO
Balurco de Baixo;Montinho;Carro;0.6;;O
Balurco de Baixo;Torneiro;Carro;1.5;;NE
Balurco de Cima;IC27 - Saída 7;Carro;1.1;;NO
Balurco de Cima;Cercado;Carro;0.7;;E
Bar do Rio;Guerreiros do Rio;Carro;0.1;;S
Bar do Rio;Laranjeiras;Barco;1.3;Barco;NO
Bar do Rio;Foz de Odeleite;Barco;5.1;Barco;S
Barra do Guadiana;Vila Real de Santo António;Carro;3.6;;NO
Barragem de Alcoutim;Corte Tabelião;Carro;2.1;;SO
Barragem de Odeleite;Choça Queimada;Carro;1.0;;SE
Barragem do Beliche;Sentinela;Carro;3.6;;N
Barragem do Beliche;Beliche;Carro;0.6;;E
Barragem do Beliche;Vale de Andreu;Carro;1.3;;SE
Barranco das Pereiras;Foz de Odeleite;Carro;2.4;;S
Barranco do Velho;São Brás de Alportel;Carro;14.1;N2;S
Barranco do Velho;Parque Temático da Serra do Caldeirão;Carro;0.9;;NE
Barranco do Velho;Miradouro do Caldeirão;Carro;10.6;N2;N
Barranco do Velho;Cruzamento da N124 com a N396;Carro;3.3;;O
Barriada de Canela;Praia de Isla Canela;Carro;4.3;;SE
Beja;IP2 - Saída 44;Carro;13.2;;S
Beja;Serpa;Carro;27.9;;SE
Beliche;Montes Castelhanos;Carro;4.6;;SE
Boavista;Espírito Santo;Carro;6.6;;SO
Boavista;Penha da Águia;Carro;3.4;;NE
Boliqueime;Estação de Boliqueime;Carro;2.2;;SE
Boliqueime;Cruzamento da N125 com a M526;Carro;3.1;;SE
Botelhas;Cabeço da Junqueira;Carro;1.2;;SE
Botelhas;Vale de Andreu;Carro;2.3;;NO
Brinhosa;Cruzamento da M509 com a M512;Carro;1.0;;O
Brinhosa;Quebradas;Carro;2.4;;SE
Cabanas de Tavira;Conceição, Tavira;Carro;1.5;;N
Cabanas de Tavira;Praia de Cabanas de Tavira;Barco;0.8;Barco;E
Cabeço da Junqueira;Casinhas;Carro;1.7;;NE
Cabeço da Junqueira;Castro Marim Golfe & Country Club;Carro;2.9;;SE
Cabo de Santa Maria;Praia da Barreta;Barco;2.2;Barco;NE
Cacela Velha;Vila Nova de Cacela;Carro;2.5;;NE
Cacela Velha;Sítio da Fábrica;Carro;1.3;;SO
Cachopo;Martinlongo;Carro;16.2;;N
Cachopo;Vaqueiros;Carro;16.7;;NE
Cachopo;Parque Temático da Serra do Caldeirão;Carro;21.8;;SO
Cachopo;Corte João Marques;Carro;12.6;;NO
Cachopo;Tavira - Norte;Carro;40.5;;SE
Cais da Mesquita;Mesquita;Carro;2.5;;SO
Cais da Mesquita;Penha da Águia;Barco;8.6;Barco;NO
Cais da Mesquita;Pomarão;Barco;0.1;Barco;NE
Cais da Praia do Barril;Pedras d'El Rei;Carro;0.7;;NO
Cais da Praia do Barril;Praia do Barril;Comboio;1.1;Comboio da Praia do Barril;SE
Cais da Praia do Barril;Santa Luzia;Barco;1.8;Barco;NE
Cartaya;Cruzamento da N-431 com a N-444;Carro;4.2;;O
Casa Branca, Alcoutim;Deserto;Carro;0.6;;O
Casa Branca, Alcoutim;Cerro;Carro;0.3;;SO
Casa Branca, Castro Marim;Choça Queimada;Carro;0.8;;NO
Cascata do Pulo do Lobo - Margem Esquerda;Vale do Poço;Carro;12.3;;SE
Cascata do Pulo do Lobo - Margem Direita;Cruzamento da N122 com a N123;Carro;16.5;;SO
Casinhas;Montes Castelhanos;Carro;0.6;;NE
Casinhas;Junqueira;Carro;0.7;;E
Castro Marim;Sul do Sapal de Castro Marim e Vila Real de Santo António;Carro;1.8;;SE
Castro Marim;Vista Real;Carro;2.3;;NO
Castro Marim Golfe & Country Club;IC27 - Saída 1;Carro;2.2;;NE
Castro Marim Golfe & Country Club;Vista Real;Carro;3.2;;SE
Choça Queimada;Quebradas;Carro;2.2;;S
Cercado;Deserto;Carro;0.3;;E
Cerro;Deserto;Carro;0.6;;NO
Cerro;Montinho;Carro;0.2;;S
Cerro do Enho;Vale de Andreu;Carro;2.3;;NE
Cerro do Enho;Tanoeiro;Carro;1.6;;NO
Coito;Santa Marta;Carro;2.9;;NE
Coito;Serro da Vinha de Baixo;Carro;1.7;;SO
Conceição, Faro;Estoi;Carro;4.3;;NE
Conceição, Faro;Pechão;Carro;4.6;;E
Conceição, Faro;Variante de Faro - Nó com a N2;Carro;2.7;N2;SO
Conceição, Faro;Cruzamento do IC4 com a M520;Carro;4.3;;SO
Conceição, Tavira;Vila Nova de Cacela;Carro;7.9;;NE
Conceição, Tavira;Tavira - Norte;Carro;4.9;;SO
Conceição, Tavira;Estação de Cacela;Comboio;7.1;Regional;NE
Conceição, Tavira;Estação da Porta Nova;Comboio;4.2;Regional;SO
Corte da Seda;Marmeleiro;Carro;2.2;;NE
Corte da Seda;Parque Empresarial de Alcoutim;Carro;1.5;;SO
Corte das Donas;Cruzamento da N122 com a M507-2;Carro;4.7;;NO
Corte das Donas;Rotunda da Árvore;Carro;2.1;;E
Corte do Gago;Cruzamento da M509 com a M512;Carro;3.5;;N
Corte João Marques;Martinlongo;Carro;17.7;;NE
Corte Nova;Vale do Pereiro;Carro;2.3;;SE
Corte Nova;Furnazinhas;Carro;3.0;;O
Corte Nova;Corte Velha;Carro;1.4;;N
Corte Velha;Cruzamento da N122 com a M1060;Carro;1.5;;E
Cortes Pereiras;Menires do Lavajo;Carro;2.5;;NO
Cortes Pereiras;São Martinho;Carro;0.6;;SO
Cortes Pereiras;Monte Vascão;Carro;3.2;;NO
Corte Tabelião;Parque Empresarial de Alcoutim;Carro;6.6;;S
Corte Tabelião;IC27 - Fim;Carro;5.9;;NO
Cruzamento da A-376 com a SE-30;SE-30 - Saída 8;Carro;2.6;;SO
Cruzamento da A-376 com a SE-30;SE-30 - Saída 5;Carro;1.2;;NE
Cruzamento da A-4 Norte com a SE-30;SE-30 - Saída 1;Carro;1.0;;SE
Cruzamento da A-4 Norte com a SE-30;Ronda Urbana Norte de Sevilha - Poligono Calonge;Carro;0.7;;N
Cruzamento da A-4 Sul com a SE-30;Ponte do Centenário;Carro;1.4;;NO
Cruzamento da A-4 Sul com a SE-30;SE-30 - Saída 8;Carro;0.9;;E
Cruzamento da A-4 Sul com a SE-30;Cruzamento da A-4 Sul com a SE-40;Carro;5.1;;S
Cruzamento da A-4 Sul com a SE-40;SE-40 - Saída 19;Carro;3.3;;E
Cruzamento da A-49 com a H-31;H-31 - Saída 80;Carro;1.5;;SO
Cruzamento da A-49 com a SE-30;Cruzamento da A-66 com a SE-30;Carro;2.7;;N
Cruzamento da A-49 com a SE-30;SE-30 - Saída 15;Carro;1.9;;S
Cruzamento da A-49 com a SE-30;Sevilha - Avenida Expo'92;Carro;1.3;;E
Cruzamento da A-49 com a SE-40;SE-40 - Saída 35;Carro;6.8;;S
Cruzamento da A-66 com a SE-30;Cruzamento da SE-20 com a SE-30;Carro;2.4;;E
Cruzamento da A-92 com a SE-30;SE-30 - Saída 3;Carro;0.6;;S
Cruzamento da A-92 com a SE-30;SE-30 - Saída 1;Carro;1.5;;NO
Cruzamento da H-30 com a H-31;H-31 - Saída 80;Carro;4.4;;NE
Cruzamento do IC4 com a M520;Variante de Faro - Nó com o IC4;Carro;1.3;;S
Cruzamento do IC4 com a M520;Cruzamento do IC4 com a N125;Carro;3.4;;NO
Cruzamento do IC4 com a N125;Estação de Parque das Cidades;Carro;1.2;;NO
Cruzamento do IC4 com a N125;Estádio Algarve;Carro;2.4;;N
Cruzamento da M524 com a M525;Loulé;Carro;6.8;;S
Cruzamento da M524 com a M525;Fonte Benémola;Carro;3.4;;NE
Cruzamento da M524 com a M525;Salir;Carro;7.3;;N
Cruzamento da N-431 com a N-444;Lepe;Carro;3.1;;SO
Cruzamento da N122 com a M1059;IC27 - Saída 6;Carro;1.6;;O
Cruzamento da N122 com a M1059;Cruzamento da N122 com a M507-2;Carro;0.7;;N
Cruzamento da N122 com a M1059;Cruzamento da N122 com a M1060;Carro;5.6;;SO
Cruzamento da N122 com a M1060;IC27 - Saída 5;Carro;2.6;;SE
Cruzamento da N122 com a M1063;Fonte do Penedo;Carro;1.6;;NE
Cruzamento da N122 com a M1063;IC27 - Saída 3;Carro;0.8;;SO
Cruzamento da N122 com a M507;IC27 - Fim;Carro;0.5;;SE
Cruzamento da N122 com a M507;Santa Marta;Carro;1.8;;NO
Cruzamento da N122 com a M512;IC27 - Saída 2;Carro;2.1;;NO
Cruzamento da N122 com a M512;Montes Castelhanos;Carro;3.5;;S
Cruzamento da N122 com a N123;IP2 - Saída 44;Carro;27.9;;NO
Cruzamento da N122 com a N123;Mértola;Carro;11.1;;SE
Cruzamento da N124 com a M507-1;Giões;Carro;2.5;;N
Cruzamento da N124 com a M507-1;Martinlongo;Carro;6.9;;SO
Cruzamento da N124 com a M507-1;Pereiro;Carro;8.9;;E
Cruzamento da N124 com a N396;Querença;Carro;8.5;;SO
Cruzamento da N124 com a N396;Salir;Carro;8.4;;O
Cruzamento da N125 com a M1347;Tavira - Sul;Carro;4.3;;NE
Cruzamento da N125 com a M1347;Pedras d'El Rei;Carro;1.0;;SE
Cruzamento da N125 com a M1347;Luz de Tavira;Carro;2.2;;SO
Cruzamento da N125 com a M516-2;Livramento;Carro;2.8;;NE
Cruzamento da N125 com a M516-2;Estação de Fuseta-Moncarapacho;Carro;0.9;;SE
Cruzamento da N125 com a M516-2;Cruzamento da N125 com a N398;Carro;5.9;;SO
Cruzamento da N125 com a M516-2;Moncarapacho;Carro;3.8;;NO
Cruzamento da N125 com a M526;Vilamoura;Carro;5.7;;SE
Cruzamento da N125 com a M526;Cruzamento da N125 com a N396;Carro;8.2;;SE
Cruzamento da N125 com a M526;Estação de Boliqueime;Carro;2.3;;NO
Cruzamento da N125 com a M526;Olhos de Água;Carro;6.7;;SO
Cruzamento da N125 com a N125-6;Estação de Castro Marim;Carro;1.4;;N
Cruzamento da N125 com a N125-6;Estação de Monte Gordo;Carro;3.4;;E
Cruzamento da N125 com a N125-6;Praia Verde;Carro;1.3;;S
Cruzamento da N125 com a N396;Estação de Loulé;Carro;2.3;;NO
Cruzamento da N125 com a N398;Olhão;Carro;3.2;;SO
Cruzamento da N125-4 com a M521;Estação de Almancil;Carro;3.4;;S
Cruzamento da N125-4 com a M521;Mar Shopping Algarve;Carro;4.0;;SE
Cruzamento da N125-4 com a M521;Loulé;Carro;2.0;;N
Cruzamento da N265 com a N392;Vale do Poço;Carro;7.5;;S
Cruzamento da N265 com a N392;Serpa;Carro;17.7;;NO
Cruzamento da N265 com a N392;Vila Nova de São Bento;Carro;19.5;;NE
Cruzamento da SE-20 com a SE-30;SE-30 - Saída 21;Carro;1.2;;E
Cruzamento da SE-20 com a SE-30;SE-20 - Estádio de La Cartuja;Carro;0.8;;N
Culatra;Ilha da Armona;Barco;6.2;Barco;NE
Culatra;Hangares;Barco;1.6;Barco;SO
Culatra;Olhão;Barco;5.1;Barco;N
Deserto;Montinho;Carro;0.6;;SE
Dunas de Vila Real de Santo António;Monte Gordo;Carro;1.7;;O
Dunas de Vila Real de Santo António;Vila Real de Santo António;Carro;2.0;;NE
El Granado;Sanlúcar de Guadiana;Carro;7.8;;SO
El Granado;Puerto de la Laja;Carro;7.5;;O
El Granado;Villanueva de los Castillejos;Carro;14.4;;E
Espírito Santo;Sedas;Carro;4.7;;SE
Estação de Almancil;Estação de Parque das Cidades;Comboio;4.2;Regional;SE
Estação de Almancil;Estação de Loulé;Comboio;3.4;Regional;NO
Estação de Boliqueime;Estação de Loulé;Comboio;8.6;Regional;SE
Estação de Bom João;Porto de Faro;Carro;2.0;;S
Estação de Bom João;Faro - Sé;Carro;1.7;;N
Estação de Bom João;Variante de Faro - Nó com a M518;Carro;2.6;;NE
Estação de Bom João;Olhão;Comboio;7.8;Regional;NE
Estação de Bom João;Estação de Faro;Comboio;2.2;Regional;NO
Estação de Cacela;Vila Nova de Cacela;Carro;0.8;;SE
Estação de Cacela;Estação de Castro Marim;Comboio;5.9;Regional;NE
Estação de Castro Marim;Vista Real;Carro;3.8;;NE
Estação de Castro Marim;Estação de Monte Gordo;Comboio;3.4;Regional;SE
Estação de Faro;Faro - São Pedro;Carro;0.8;;E
Estação de Faro;Estação de Parque das Cidades;Comboio;8.1;Regional;NO
Estação de Faro;Estação de Loulé;Comboio;15.8;Alfa Pendular / Intercidades;NO
Estação de Fuseta-A;Fuseta;Carro;0.7;;NE
Estação de Fuseta-A;Estação de Fuseta-Moncarapacho;Comboio;0.9;Regional;N
Estação de Fuseta-A;Olhão;Comboio;8.7;Regional;SO
Estação de Fuseta-Moncarapacho;Fuseta;Carro;0.8;;SE
Estação de Fuseta-Moncarapacho;Livramento;Comboio;2.9;Regional;NE
Estação da Luz;Luz de Tavira;Carro;0.6;;NO
Estação da Luz;Estação de Tavira;Comboio;5.4;Regional;NE
Estação da Luz;Livramento;Comboio;3.3;Regional;SO
Estação de Monte Gordo;Hortas;Carro;0.9;;SE
Estação de Monte Gordo;Monte Gordo;Carro;1.5;;S
Estação de Monte Gordo;Vila Real de Santo António;Comboio;2.6;Regional;NE
Estação de Parque das Cidades;Mar Shopping Algarve;Carro;2.5;;NO
Estação da Porta Nova;Tavira - Norte;Carro;0.7;;S
Estação da Porta Nova;Estação de Tavira;Comboio;1.6;Regional;SO
Estação de Tavira;Tavira - Sul;Carro;0.6;;NE
Estádio Algarve;Santa Bárbara de Nexe;Carro;2.6;;NE
Estoi;Moncarapacho;Carro;10.3;;E
Estoi;Pechão;Carro;4.8;;SE
Estoi;Ruínas Romanas de Milreu;Carro;0.9;;O
Faro - Avenida Calouste Gulbenkian;Forum Algarve;Carro;1.7;;NO
Faro - Avenida Calouste Gulbenkian;Variante de Faro - Nó com a N2;Carro;2.7;N2;N
Faro - Avenida Calouste Gulbenkian;Universidade do Algarve - Campus da Penha;Carro;1.8;;E
Faro - Avenida Calouste Gulbenkian;Faro - Sé;Carro;1.6;;SE
Faro - Avenida Calouste Gulbenkian;Faro - São Pedro;Carro;1.3;;S
Faro - São Pedro;Faro - Sé;Carro;1.6;;E
Faro - São Pedro;Porto de Faro;Barco;1.8;Barco;SE
Faro - São Pedro;Praia de Faro;Barco;5.0;Barco;SO
Faro - Sé;Universidade do Algarve - Campus da Penha;Carro;1.4;;N
Faro - Sé;Variante de Faro - Nó com a M518;Carro;1.9;;NE
Fonte Benémola;Querença;Carro;2.4;;SE
Fonte Zambujo;Fonte Zambujo de Cima;Carro;0.9;;N
Fonte Zambujo;Fonte Zambujo de Baixo;Carro;1.2;;SO
Fonte Zambujo de Cima;Pereiro;Carro;3.4;;NO
Forum Algarve;Variante de Faro - Nó com o IC4;Carro;1.9;;N
Furnazinhas;Vaqueiros;Carro;17.6;;NO
Fuseta;Praia do Barril;Barco;8.6;Barco;NE
Fuseta;Ilha da Armona;Barco;10.9;Barco;SO
Fuseta;Praia da Fuseta;Barco;1.3;Barco;S
Gelves;San Juan de Aznalfarache;Carro;3.0;;N
Gelves;SE-40 - Reinício;Carro;4.0;;S
Gibraleón;San Bartolomé de la Torre;Carro;15.3;;NO
Giões;Serro da Vinha de Baixo;Carro;9.1;;E
Guerreiros do Rio;Laranjeiras;Carro;1.2;;NO
Guerreiros do Rio;Rotunda da Árvore;Carro;0.7;;S
Hangares;Ilha do Farol;Barco;1.5;Barco;SO
Hortas;Vila Real de Santo António;Carro;2.4;;E
IC27 - Fim;IC27 - Saída 7;Carro;6.1;;S
IC27 - Fim;Parque Empresarial de Alcoutim;Carro;7.7;;SE
IC27 - Início;IC27 - Saída 1;Carro;1.1;;NO
IC27 - Início;Monte Francisco;Carro;0.5;;O
IC27 - Início;Norte do Sapal de Castro Marim e Vila Real de Santo António;Carro;2.0;;E
IC27 - Saída 1;IC27 - Saída 2;Carro;8.1;;NO
IC27 - Saída 1;Junqueira;Carro;2.4;;NO
IC27 - Saída 1;Monte Francisco;Carro;0.9;;S
IC27 - Saída 1;Quinta do Vale Golf Resort;Carro;1.1;;NE
IC27 - Saída 2;IC27 - Saída 3;Carro;2.6;;N
IC27 - Saída 2;Piçarral;Carro;1.0;;NE
IC27 - Saída 2;Sentinela;Carro;1.2;;O
IC27 - Saída 3;IC27 - Saída 4;Carro;2.7;;N
IC27 - Saída 3;Portela Alta de Cima;Carro;2.5;;SO
IC27 - Saída 4;IC27 - Saída 5;Carro;3.3;;NO
IC27 - Saída 4;Odeleite;Carro;0.7;;E
IC27 - Saída 4;Montinho de Odeleite;Carro;4.1;;NO
IC27 - Saída 5;IC27 - Saída 6;Carro;5.1;;N
IC27 - Saída 5;Tenência;Carro;3.3;;NE
IC27 - Saída 5;Vale do Pereiro;Carro;1.9;;O
IC27 - Saída 6;IC27 - Saída 7;Carro;3.7;;N
IC27 - Saída 6;Palmeira;Carro;0.7;;SO
IC27 - Saída 7;Parque Empresarial de Alcoutim;Carro;3.0;;E
IC27 - Saída 7;Tacões;Carro;3.5;;NO
Ilha da Armona;Olhão;Barco;2.9;Barco;NO
Ilha do Farol;Porto de Faro;Barco;6.0;Barco;NO
Ilha do Farol;Praia da Barreta;Barco;1.4;Barco;SO
Isla Cristina;Punta del Moral;Barco;1.6;Barco;SO
Junqueira;Montes Castelhanos;Carro;0.6;;N
Laranjeiras;Montinho das Laranjeiras;Carro;0.5;;NO
