Municipio,Province
Huéneja,Granada
Huércal-Overa,Almería
Huete,Cuenca
Huétor de Santillán,Granada
Huétor Tájar,Granada
Huévar del Aljarafe,Sevilha
Ibi,Alacant / Alicante
Isla Cristina,Huelva
Iznalloz,Granada
Jabalquinto,Jaén
Jaén,Jaén
Jaraicejo,Cáceres
Jarilla,Cáceres
Játiva/Xàtiva,València / Valencia
Jerez de la Frontera,Cádiz
L'Alcúdia,València / Valencia
L'Aldea,Tarragona
L'Ametlla de Mar,Tarragona
L'Ampolla,Tarragona
L'Arboç,Tarragona
L'Olleria,València / Valencia
La Almarcha,Cuenca
La Bañeza,León
La Cabeza de Béjar,Salamanca
La Cabrera,Comunidade de Madrid
La Calahorra,Granada
La Calzada de Oropesa,Toledo
La Campana,Sevilha
La Carlota,Córdoba
La Carolina,Jaén
La Cumbre,Cáceres
La Fuente de San Esteban,Salamanca
La Guardia de Jaén,Jaén
La Guardia,Toledo
La Hinojosa,Cuenca
La Línea de la Concepción,Cádiz
La Luisiana,Sevilha
La Mojonera,Almería
La Orbada,Salamanca
La Peza,Granada
La Puebla de Cazalla,Sevilha
La Rinconada,Sevilha
La Roda de Andalucía,Sevilha
La Serna del Monte,Comunidade de Madrid
La Serrada,Ávila
La Torre de Esteban Hambrán,Toledo
La Torre del Valle,Zamora
Láchar,Granada
Lagartera,Toledo
Las Cabezas de San Juan,Sevilha
Las Rozas de Madrid,Comunidade de Madrid
Las Tres Villas,Almería
Las Ventas de Retamosa,Toledo
Lebrija,Sevilha
Lecrín,Granada
Leganés,Comunidade de Madrid
Lepe,Huelva
Les Alqueries / Alquerías del Niño Perdido,Castelló de la Plana / Castellón de la Plana
Librilla,Região de Murcia
Llanos del Caudillo,Ciudad Real
Llocnou de la Corona / Lugar Nuevo de la Corona,València / Valencia
Lobón,Badajoz
Loeches,Comunidade de Madrid
Loja,Granada
Lopera,Jaén
Lora de Estepa,Sevilha
Lorca,Região de Murcia
Los Barrios,Cádiz
Los Cerralbos,Toledo
Los Gallardos,Almería
Los Palacios y Villafranca,Sevilha
Los Santos de Maimona,Badajoz
Lozoyuela-Navas-Sieteiglesias,Comunidade de Madrid
Lucena,Córdoba
Lucillos,Toledo
Lugo,Lugo
Lújar,Granada
Machacón,Salamanca
Madrid,Comunidade de Madrid
Madridejos,Toledo
Mairena del Aljarafe,Sevilha
Majadahonda,Comunidade de Madrid
Majadas,Cáceres
Málaga,Málaga
Malpartida de Plasencia,Cáceres
Manilva,Málaga
Manises,València / Valencia
Manzanares,Ciudad Real
Maqueda,Toledo
Marbella,Málaga
Marchamalo,Guadalajara
Marchena,Sevilha
Marmolejo,Jaén
Martín de Yeltes,Salamanca
Martín Muñoz de la Dehesa,Segóvia
Massalavés,València / Valencia
Meco,Comunidade de Madrid
Medina del Campo,Valladolid
Medina Sidonia,Cádiz
Mejorada del Campo,Comunidade de Madrid
Melón,Ourense
Membrilla,Ciudad Real
Mengíbar,Jaén
Mérida,Badajoz
Miajadas,Cáceres
Miguelturra,Ciudad Real
Mijas,Málaga
Millanes,Cáceres
Minglanilla,Cuenca
Mollina,Málaga
Moncofa,Castelló de la Plana / Castellón de la Plana
Monesterio,Badajoz
Monforte del Cid,Alacant / Alicante
Montalbo,Cuenca
Montejo,Salamanca
Montilla,Córdoba
Montoro,Córdoba
Monturque,Córdoba
Moraleda de Zafayona,Granada
Moraleja,Cáceres
Moraleja de Enmedio,Comunidade de Madrid
Mos,Pontevedra
Móstoles,Comunidade de Madrid
Mota del Marqués,Valladolid
Motilla del Palancar,Cuenca
Motril,Granada
Murcia,Região de Murcia
Muro de Alcoy,Alacant / Alicante
Museros,València / Valencia
Nacimiento,Almería
Narros del Castillo,Ávila
Nava de Béjar,Salamanca
Nava del Rey,Valladolid
Navalcarnero,Comunidade de Madrid
Navalmoral de la Mata,Cáceres
Nerja,Málaga
Nigüelas,Granada
Níjar,Almería
Noalejo,Jaén
O Corgo,Lugo
O Porriño,Pontevedra
Ocaña,Toledo
Ogíjares,Granada
Oleiros,A Coruña
Oliva de la Frontera,Badajoz
Oliva de Plasencia,Cáceres
Ontígola,Toledo
Orbita,Ávila
Ordes,A Coruña
Orihuela,Alacant / Alicante
Oropesa,Toledo
Oroso,A Coruña
Orpesa / Oropesa del Mar,Castelló de la Plana / Castellón de la Plana
Osuna,Sevilha
Otero,Toledo
Outeiro de Rei,Lugo
Oza-Cesuras,A Coruña
Padrón,A Coruña
Padul,Granada
Pajares de la Laguna,Salamanca
Palacios de Goda,Ávila
Palomares del Río,Sevilha
Palos de la Frontera,Huelva
Paracuellos de Jarama,Comunidade de Madrid
Parada de Rubiales,Salamanca
Paradas,Sevilha
Paterna,València / Valencia
Paymogo,Huelva
Pechina,Almería
Pedrafita do Cebreiro,Lugo
Pedrera,Sevilha
Pedrezuela,Comunidade de Madrid
Pedro Abad,Córdoba
Pedrosillo el Ralo,Salamanca
Pegalajar,Jaén
Pelabravo,Salamanca
Peligros,Granada
Peñalba de Ávila,Ávila
Peñaranda de Bracamonte,Salamanca
Peníscola / Peñíscola,Castelló de la Plana / Castellón de la Plana
Pepino,Toledo
Peraleda de la Mata,Cáceres
Perales de Tajuña,Comunidade de Madrid
Picassent,València / Valencia
Pinos Puente,Granada
Pinto,Comunidade de Madrid
Piñuécar-Gandullas,Comunidade de Madrid
Plasencia,Cáceres
Poblete,Ciudad Real
Pollos,Valladolid
Polopos,Granada
Ponferrada,León
Ponteareas,Pontevedra
Pontevedra,Pontevedra
Portas,Pontevedra
Pozorrubielos de la Mancha,Cuenca
Pozuelo de Alarcón,Comunidade de Madrid
Pozuelo del Páramo,León
Puçol,València / Valencia
Puebla de Guzmán,Huelva
Puebla de Sancho Pérez,Badajoz
Puerto de Béjar,Salamanca
Puerto de Santa Cruz,Cáceres
Puerto Lápice,Ciudad Real
Puerto Lumbreras,Região de Murcia
Puerto Real,Cádiz
Puertollano,Ciudad Real
Pulianas,Granada
Punta Umbría,Huelva
Purullena,Granada
Quismondo,Toledo
Rábade,Lugo
Redondela,Pontevedra
Requena,València / Valencia
Reus,Tarragona
Riba-roja de Túria,València / Valencia
Ribadavia,Ourense
Riego de la Vega,León
Rincón de la Victoria,Málaga
Rioja,Almería
Rivas-Vaciamadrid,Comunidade de Madrid
Robliza de Cojos,Salamanca
Romangordo,Cáceres
Roperuelos del Páramo,León
Roquetas de Mar,Almería
Rosal de la Frontera,Huelva
Rotglà i Corberà,València / Valencia
Rueda,Valladolid
Saelices,Cuenca
Sagunt / Sagunto,València / Valencia
Salamanca,Salamanca
Salar,Granada
Salobreña,Granada
Salteras,Sevilha
Salvaterra de Miño,Pontevedra
San Adrián del Valle,León
San Agustín del Guadalix,Comunidade de Madrid
San Bartolomé de la Torre,Huelva
San Clemente,Cuenca
San Cristóbal de Entreviñas,Zamora
San Esteban del Molar,Zamora
San Fernando de Henares,Comunidade de Madrid
San Isidro,Alacant / Alicante
San Juan de Aznalfarache,Sevilha
San Juan del Puerto,Huelva
San Justo de la Vega,León
San Lorenzo de El Escorial,Comunidade de Madrid
San Miguel del Pino,Valladolid
San Pablo de la Moraleja,Valladolid
San Pedro de Mérida,Badajoz
San Pedro del Arroyo,Ávila
San Roque,Cádiz
San Sebastián de los Reyes,Comunidade de Madrid
San Silvestre de Guzmán,Huelva
San Vicente del Palacio,Valladolid
Sanchidrián,Ávila
Sancti-Spíritus,Salamanca
Sanlúcar de Guadiana,Huelva
Santa Amalia,Badajoz
Santa Bárbara de Casa,Huelva
Santa Cruz de la Sierra,Cáceres
Santa Cruz de Mudela,Ciudad Real
Santa Cruz del Retamar,Toledo
Santa Elena,Jaén
Santa Fe,Granada
Santa Marta de Tormes,Salamanca
Santa Olalla del Cala,Huelva
Santa Olalla,Toledo
Santiago de Compostela,A Coruña
Santiago del Campo,Cáceres
Santiponce,Sevilha
Santo Domingo-Caudilla,Toledo
Santo Tomé del Puerto,Segóvia
Santomera,Região de Murcia
Saucedilla,Cáceres
Sedaví,València / Valencia
Serranillos del Valle,Comunidade de Madrid
Seseña,Toledo
Sevilha,Sevilha
Siete Aguas,València / Valencia
Siete Iglesias de Trabancos,Valladolid
Silla,València / Valencia
Socuéllamos,Ciudad Real
Sollana,València / Valencia
Somosierra,Comunidade de Madrid
Sorbas,Almería
Sorihuela,Salamanca
Tabernas,Almería
Talavera de la Reina,Toledo
Talavera la Real,Badajoz
Tarancón,Cuenca
Tarifa,Cádiz
Tarragona,Tarragona
Tébar,Cuenca
Tembleque,Toledo
Teo,A Coruña
Tibi,Alacant / Alicante
Tiedra,Valladolid
Tomelloso,Ciudad Real
Tordesillas,Valladolid
Torija,Guadalajara
Toril,Cáceres
Torralba de Calatrava,Ciudad Real
Torralba de Oropesa,Toledo
Torre del Bierzo,León
Torreblanca,Castelló de la Plana / Castellón de la Plana
Torrecillas de la Tiesa,Cáceres
Torrejón de Ardoz,Comunidade de Madrid
Torrejón de Velasco,Comunidade de Madrid
Torrelodones,Comunidade de Madrid
Torremejía,Badajoz
Torremolinos,Málaga
Torrent,València / Valencia
Torrox,Málaga
Totana,Região de Murcia
Trabadelo,León
Trijueque,Guadalajara
Trujillanos,Badajoz
Trujillo,Cáceres
Tui,Pontevedra
Umbrete,Sevilha
Utiel,València / Valencia
Utrera,Sevilha
Valdemoro,Comunidade de Madrid
Valdepeñas,Ciudad Real
Valderrey,León
València / Valencia,València / Valencia
Valencia del Mombuey,Badajoz
Valle del Zalabí,Granada
Vallejera de Riofrío,Salamanca
Valmojado,Toledo
Vandellòs i l'Hospitalet de l'Infant,Tarragona
Vara de Rey,Cuenca
Vega de Valcarce,León
Vega de Valdetronco,Valladolid
Vélez de Benaudalla,Granada
Vélez-Málaga,Málaga
Venta del Moro,València / Valencia
Venturada,Comunidade de Madrid
Vera,Almería
Viator,Almería
Vícar,Almería
Vigo,Pontevedra
Vila-seca,Tarragona
Vilaboa,Pontevedra
Vilafranca del Penedès,Barcelona
Vilalba,Lugo
Villa de Otura,Granada
Villa del Río,Córdoba
Villablanca,Huelva
Villabrázaro,Zamora
Villacastín,Segóvia
Villafranca de Córdoba,Córdoba
Villafranca de los Barros,Badajoz
Villafranca del Bierzo,León
Villagatón,León
Villalpando,Zamora
Villamayor,Salamanca
Villamena,Granada
Villamesías,Cáceres
Villanueva de Córdoba,Córdoba
Villanueva de la Reina,Jaén
Villanueva de la Serena,Badajoz
Villanueva de los Caballeros,Valladolid
Villanueva de los Castillejos,Huelva
Villanueva del Rosario,Málaga
Villanueva del Trabuco,Málaga
Villar de Gallimazo,Salamanca
Villar de Plasencia,Cáceres
Villardefrades,Valladolid
Villarejo de Salvanés,Comunidade de Madrid
Villares de la Reina,Salamanca
Villares del Saz,Cuenca
Villargordo del Cabriel,València / Valencia
Villarrasa,Huelva
Villarrobledo,Albacete
Villarrubio,Cuenca
Villarta de San Juan,Ciudad Real
Vinaròs,Castelló de la Plana / Castellón de la Plana
Viso del Marqués,Ciudad Real
Víznar,Granada
Zafra de Záncara,Cuenca
